Majority.protein.IDs	Protein.names	gene_id_chep	Name in RNA-seq dataset
Q16594;D6RGK3;D6RIV9;D6RIE8;D6RHW1;D6RIY1	Transcription initiation factor TFIID subunit 9	TAF9	not in dataset
Q2TAB3;Q1ET63;Q1ET62;Q1ET61;B3KT14;A0A0A6YYL2;P0DMN0;P0DMM9;Q1ET65;Q1ET64	Sulfotransferase;Sulfotransferase 1A4;Sulfotransferase 1A3	SULT1A4;ST1A5;SULT1A3	not in dataset
Q53EL1;Q12768;E7EQI7;B4DLF2	WASH complex subunit strumpellin	KIAA0196	WASHC5
Q53F19;L0R6D6	Uncharacterized protein C17orf85	C17orf85	NCBP3
Q53HH3;A0A1U9X7S4;Q92759;B4DNU0	General transcription factor IIH subunit 4	GTF2H4	not in dataset
Q53YD7;P26641;B4DUP0	Elongation factor 1-gamma	EEF1G	not in dataset
Q541A5;Q92890;B4E3I3;B7Z9N3;C9JNP9;C9IZG3	Ubiquitin fusion degradation protein 1 homolog	ufd1;UFD1L	UFD1
Q562F6;B7Z7S9	Shugoshin-like 2	SGOL2	SGO2
Q5CAQ5;V9HWP2;P14625;Q59FC6;B4DU71;B4DHT9	Endoplasmin	TRA1;HEL-S-125m;HSP90B1	HSP90B1
Q5MIZ7;B4DKA9	Serine/threonine-protein phosphatase 4 regulatory subunit 3B	SMEK2	PPP4R3B
Q5RLJ0;Q549M8;Q9Y224;G3V4C6;H0YJB9	UPF0568 protein C14orf166	C14orf166	RTRAF
Q5T280;Q9P041	Putative methyltransferase C9orf114	C9orf114	SPOUT1
Q5T6L4;P00966;A8KAP9;Q5T6L6;A0A0S2Z3B6	Argininosuccinate synthase	ASS;ASS1	ASS1
Q5TA45;A0A024R0F2;A0A024R073;A0A087WYI0;C9IYS7;Q96HV7;C9J979;J3QRY6	Integrator complex subunit 11	CPSF3L	INTS11
Q5VWN6	Protein FAM208B	FAM208B	TASOR2
Q5VYK3;J3KN16;B3KXF2	Proteasome-associated protein ECM29 homolog	ECM29;KIAA0368	ECPAS
Q5VYS8;A0A024R235	Terminal uridylyltransferase 7	ZCCHC6	TUT7
Q68E05	NA	DKFZp686A1765	not in dataset
Q69YN4	Protein virilizer homolog	KIAA1429	VIRMA
Q6FI03;Q5U0Q1;Q53HH4;Q13283;Q32P45;Q6ZP53	Ras GTPase-activating protein-binding protein 1	G3BP;DKFZp686L1159;G3BP1	G3BP1
Q6IBA2;Q59G24;P53999;B7Z1Z0	Activated RNA polymerase II transcriptional coactivator p15	PC4;SUB1	SUB1
Q6IN85;A0A024R6M2;G3V5Z3;H0YIY8	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	SMEK1;KIAA2010	PPP4R3A
Q6NW34;B4DJ73;B4DHL5;B4E228;B4DVN9;B4DUV5	Uncharacterized protein C3orf17	C3orf17	NEPRO
Q6UWZ7;D6REL5;A0A087WWJ9	BRCA1-A complex subunit Abraxas	FAM175A	ABRAXAS1
Q7L4X7;Q96CS0;Q53YP0;B4E1N4;Q9NZM5;B4DVK1;B4E013;B4DND9	Glioma tumor suppressor candidate region gene 2 protein	GLTSCR2	NOP53
Q7Z2Z2;B3KPR5	Elongation factor Tu GTP-binding domain-containing protein 1	EFTUD1	EFL1
Q7Z4V5	Hepatoma-derived growth factor-related protein 2	HDGFRP2	HDGFL2
Q7Z7F0;A8K1I7;D3DVA4	UPF0469 protein KIAA0907	KIAA0907	KHDC4
Q86TP1	Protein prune homolog	PRUNE	PRUNE1
Q86V59	PNMA-like protein 1	PNMAL1	PNMA8A
Q86Y97;A0A0D9SF94	Histone-lysine N-methyltransferase SUV420H2	SUV420H2	KMT5C
Q8IUF8	Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA	MINA	RIOX2
Q8IWZ8;A8K7S0;A5PLN4;A0A024R7N3	SURP and G-patch domain-containing protein 1	SUGP1;SF4	not in dataset
Q8IYH5	ZZ-type zinc finger-containing protein 3	ZZZ3	not in dataset
Q8IYX4	Dead end protein homolog 1	DND1	not in dataset
Q8N4J0;B4DSD4;Q5T8V1	UPF0586 protein C9orf41	C9orf41	CARNMT1
Q8N516;Q4LE38;O95163;B4E3I9;F5H2T0;B3KXE7;Q68DI5	Elongator complex protein 1	IKBKAP;IKBKAP variant protein;DKFZp781H1425	ELP1
Q8N6T7;B4DDV3;M0QZ09	NAD-dependent protein deacetylase sirtuin-6	SIRT6	not in dataset
Q8N884	Cyclic GMP-AMP synthase	MB21D1	CGAS
Q8NG31;E9PPJ1;H0YCZ2	Protein CASC5	CASC5	KNL1
Q8TBK5;Q8N5Z7;A0A024RBK3;Q9HBB3;Q02878;B2R4K7;B4DRX3	60S ribosomal protein L6	RPL6	not in dataset
Q8TEX9;B3KQ33;Q59FI4;D3DS63;B3KTB3;B3KPS9;B3KT38;H0YN14;Q6I9Y8;B3KPY9;B3KSQ4;Q59H62;B4DXR7	Importin-4	IPO4	not in dataset
Q8TF76;A0PJ70;A8K9K0	Serine/threonine-protein kinase haspin	GSG2	HASPIN
Q969X6;H3BSH7;A0A0J9YWM9;A0A0J9YXV4;A0A0J9YWK2	Cirhin	CIRH1A	UTP4
Q96A08	Histone H2B type 1-A	HIST1H2BA	not in dataset
Q96CV8;P52888;Q9BW75;K7EKB6;K7EP46	Thimet oligopeptidase	THOP1	not in dataset
Q96DF8;F8WEF8	Protein DGCR14	DGCR14	ESS2
Q96EP0;H0YKX0;B3KV71	E3 ubiquitin-protein ligase RNF31	RNF31	not in dataset
Q96ES7	SAGA-associated factor 29 homolog	CCDC101	SGF29
Q96F82;A8K794;Q13415;B7Z8H0	Origin recognition complex subunit 1	ORC1L;ORC1	ORC1
Q96J84;B4DN67;Q5W0G0;Q5W0F9	Kin of IRRE-like protein 1	KIRREL	KIRREL1
Q96MG7	Melanoma-associated antigen G1	NDNL2	not in dataset
Q96RT1;Q1RMC9	Protein LAP2	ERBB2IP	ERBIN
Q9BQ61;K7EN60;B2RE11;K7ELS0;K7ERU7	Uncharacterized protein C19orf43	C19orf43	TRIR
Q9BRP8	Partner of Y14 and mago	WIBG	PYM1
Q9BTL3	RNMT-activating mini protein	FAM103A1	RAMAC
Q9BU76	Multiple myeloma tumor-associated protein 2	MMTAG2	C1orf35
Q9BUA3	Uncharacterized protein C11orf84	C11orf84	SPINDOC
Q9BVL4;A0A087X0Q9;Q6ICA4	Selenoprotein O	SELO;dJ402G11.5	SELENOO
Q9BW85;M0R2S3	Coiled-coil domain-containing protein 94	CCDC94	YJU2
Q9BXW7	Cat eye syndrome critical region protein 5	CECR5	HDHD5
Q9BY43;E9PQI5;E9PQ80;E9PSI1;B7Z6C9	Charged multivesicular body protein 4a	CHMP4A	not in dataset
Q9BZ95	Histone-lysine N-methyltransferase NSD3	WHSC1L1	NSD3
Q9H3K6;A0A087WZT3	BolA-like protein 2	BOLA2	BOLA2B
Q9H6K1;A0A024RCW2;Q5TH58	Uncharacterized protein C6orf106	C6orf106	ILRUN
Q9H910;A6NGP5;H3BU16;H3BMT0;H3BTV5;B4DL85	Hematological and neurological expressed 1-like protein	HN1L	JPT2
Q9H974	Queuine tRNA-ribosyltransferase subunit QTRTD1	QTRTD1	GTRT2
Q9HBK9;A0A087WVD4	Arsenite methyltransferase	AS3MT	not in dataset
Q9HCM1	Uncharacterized protein KIAA1551	KIAA1551	RESF1
Q9HDB9	Endogenous retrovirus group K member 5 Gag polyprotein	ERVK-5	not in dataset
Q9NVM9	Protein asunder homolog	ASUN	INTS13
Q9NWV4;D3DQ38	UPF0587 protein C1orf123	C1orf123	CZIB
Q9NWY4	UPF0609 protein C4orf27	C4orf27	HPF1
Q9NXR7;F8W733;Q6ZWH1	BRCA1-A complex subunit BRE	BRE	BABAM2
Q9NZM4;A0A087WWH3	Glioma tumor suppressor candidate region gene 1 protein	GLTSCR1	BICRA
Q9NZN8;A0A024RBD8;B3KTL6;B2RDX7;F8VV52;F8VP97;F8VVY1;F8VUB4;F8VX63	CCR4-NOT transcription complex subunit 2	CNOT2	not in dataset
Q9P0V9;B5ME97;A8K7M3;E7EW69;E7EX04;B7Z371;Q59H84;Q9H9P7;B7Z277	Septin-10	Sep-10	SEPT10
Q9P260;A0A075B785	LisH domain and HEAT repeat-containing protein KIAA1468	KIAA1468	RELCH
Q9P275;A0A024R8V6;A0A075B784;B3KMW2	Ubiquitin carboxyl-terminal hydrolase 36;Ubiquitin carboxyl-terminal hydrolase	USP36	not in dataset
Q9UK61;A0A024R363;A0A087X0F1	Protein FAM208A	FAM208A;C3orf63	TASOR
Q9UK76;J3KT51	"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed"	HN1	JPT1
Q9UN81;O00369;Q9UN78;Q8TE29;O00377;O00361;G8I2S8;O00376;O00373;O00367;Q12880;O00371;O00364	LINE-1 retrotransposable element ORF1 protein	L1RE1	not in dataset
Q9UNR6;Q5HYI4;Q14534;E7EVQ6;B4DX34;B4DHX0	Squalene monooxygenase	ERG1;DKFZp686B0215;SQLE	SQLE
Q9UQ98;I3L4X2;P33527;A0A0A0MS99;Q68CP7	Multidrug resistance-associated protein 1	MRP;ABCC1;DKFZp781G125	MARCKSL1
Q9Y3A2	Probable U3 small nucleolar RNA-associated protein 11	UTP11L	UTP11
Q9Y3D0;J3KS95;H3BNV7	Mitotic spindle-associated MMXD complex subunit MIP18	FAM96B	CIAO2B
Q9Y4B6	Protein VPRBP	VPRBP	DCAF1
S4R3N1	NA	HSPE1-MOB4	HSPE1
V9HW26;P25705;K7ERX7;K7EK77	"ATP synthase subunit alpha;ATP synthase subunit alpha, mitochondrial"	HEL-S-123m;ATP5A1	ATP5F1A
X5DNY7;X5DR91;Q8NHY2;H0Y339;X5D2S9;X5D7N8;X5D9B8;B3KM72	E3 ubiquitin-protein ligase RFWD2	RFWD2	COP1
A0A087WVD1;Q96B70	Leukocyte receptor cluster member 9	LENG9	not in dataset
B4DL14;Q8TAS0;P36542;B4DFE6	"ATP synthase subunit gamma;ATP synthase subunit gamma, mitochondrial"	ATP5C1	ATP5F1C
Q53Y51;P30046;J3KQ18;H7C342;B4DJQ7;A0A0F7RPW6;B5MC82;B4E259;A6NHG4	D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein	DDT;DDTL	not in dataset
Q8IX21;B1AL16	Protein FAM178A	FAM178A	SLF2
B7ZKW4;Q8NB37;B7Z1J9;B7ZKW3;H0YER3;E9PQD8;H0YE25;H0YF25;E9PLI5	Parkinson disease 7 domain-containing protein 1	PDDC1	not in dataset
D4YW74	NA	TROPH	not in dataset
Q541S4;Q548C9;B1AMS2;Q6B514;B4DZW0;Q8NFH9;Q14141;Q6NT82;B4E049;B4DPT4;Q8NFI2;Q8NFI0	Septin-6	Sep-06	SEPT6
Q8N5G2;Q9H5V1	Macoilin	TMEM57	MACO1
