Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	LFQ intensity Primed+PRC2i 1	LFQ intensity Primed+PRC2i 2	LFQ intensity Primed+PRC2i 3	log2 fold change	p-value
A0A024QZE9;Q9NWS0;M0R3A4;M0QYA2;M0R2P8;M0R3A8;M0QYF4;M0QXD5;M0R0J2;M0R028;M0R1R3;M0QZM3	A0A024QZE9;Q9NWS0;M0R3A4;M0QYA2	PIH1 domain-containing protein 1	FLJ20643;PIH1D1	22.2195	25.19404	25.10805	24.4484	24.76618	25.36783	-0.686941147	0.271423523
A0A024QZF1;P37198;M0QXN5;M0QX10;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302;Q8WYU3	A0A024QZF1;P37198;M0QXN5	Nuclear pore glycoprotein p62	hCG_19665;NUP62	30.2194	29.98264	29.99321	30.1025	29.91855	30.09043	0.02792422	0.103123755
A0A024QZF6;Q96B36;H9KV91;M0R2V8	A0A024QZF6;Q96B36;H9KV91	Proline-rich AKT1 substrate 1	AKT1S1	22.66436	22.81835	22.8714	22.65844	22.58348	22.80245	0.103247325	0.505593426
A0A024QZH6;Q9H7N4	A0A024QZH6;Q9H7N4	"Splicing factor, arginine/serine-rich 19"	SR-A1;SCAF1	27.51412	27.45427	27.32903	27.52163	27.43801	27.46964	-0.043955485	0.298755012
A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1;M0QYG0;B4E0U5;M0R3H2;M0QXD7;M0QX88;M0R025;M0R200;M0QZ79;M0QXV1	A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1	Inactive serine/threonine-protein kinase VRK3	VRK3	26.00417	25.65384	25.91148	26.31067	26.29567	25.70736	-0.248067856	0.479713294
A0A024QZJ7;Q16204;Q15302;J7M8C2;J7MDF2	A0A024QZJ7;Q16204	Coiled-coil domain-containing protein 6	CCDC6	27.65465	28.01148	27.65431	27.49732	27.79328	27.9305	0.033115387	0.066089078
A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	Heterogeneous nuclear ribonucleoprotein H3	HNRPH3;HNRNPH3	31.88704	31.72481	31.94548	31.74539	31.64418	31.7963	0.123819351	0.709164337
A0A024QZM5;Q9ULE6	A0A024QZM5;Q9ULE6	Paladin	KIAA1274;PALD1	26.02513	26.30927	26.32675	25.95316	26.42291	26.12938	0.051900864	0.111711926
A0A024QZM6;P53992;B4DSN3;G5EA31;B7ZAY6;A0A0U1RR49;B4DQ22	A0A024QZM6;P53992;B4DSN3;G5EA31	Protein transport protein Sec24C	SEC24C	27.78382	28.03732	28.16284	27.66669	28.26455	28.03396	0.006259918	0.009975475
A0A024QZN2;Q8WXX5	A0A024QZN2;Q8WXX5	DnaJ homolog subfamily C member 9	hCG_2024613;DNAJC9	28.61105	28.70121	28.37447	28.65458	28.62516	28.64808	-0.080364863	0.339574192
A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13;B4DKC9;B4DTM7;A0A096LPE1	A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13	Vinculin	VCL;HEL114	31.89988	32.14306	32.19689	31.74995	31.91876	32.08297	0.162717183	0.541904311
A0A024QZN6;Q9ULJ6;F6WR09;D4YW76;A0JLS3;A0A087WYE6;Q149N7;Q9H7J0	A0A024QZN6;Q9ULJ6;F6WR09;D4YW76	Zinc finger MIZ domain-containing protein 1	RAI17;ZMIZ1;TRAFIP10	24.79511	25.25969	23.34476	25.72627	24.91283	23.91543	-0.384990692	0.189062179
A0A024QZN8;Q5GLZ8;A8K9U4;H0Y6K7;Q9Y4U2;D6RCL5	A0A024QZN8;Q5GLZ8;A8K9U4	Probable E3 ubiquitin-protein ligase HERC4	HERC4	26.03886	26.30847	26.27188	26.19302	26.32841	26.34592	-0.082718531	0.353542445
A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	Core histone macro-H2A;Core histone macro-H2A.2;Histone H2A	H2AFY2	31.10724	31.14746	30.54287	31.35846	31.25271	31.05756	-0.290385564	0.608011667
A0A024QZQ1;Q96EB6;E9PC49;B0QZ35;B3KNK3	A0A024QZQ1;Q96EB6;E9PC49;B0QZ35	NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment	SIRT1	26.76091	26.80341	26.94782	27.05289	26.73982	26.87748	-0.052686056	0.188653362
A0A024QZR3;B3KPC1;Q9BRX2	A0A024QZR3;B3KPC1;Q9BRX2	Protein pelota homolog	hCG_2002731;PELO	27.07714	27.1207	26.78905	26.78806	26.97169	26.62352	0.20120875	0.625714816
A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0;H0YBM0;H0YBA0;E7ER80	A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0	AP-3 complex subunit mu-1	AP3M1;DKFZp586G1518	26.58792	26.8417	26.93438	26.36057	26.89365	26.77165	0.112710953	0.23058646
A0A024QZT2;Q96KP1;B3KPN7;B4DZI7;Q2MDF5	A0A024QZT2;Q96KP1;B3KPN7;B4DZI7	Exocyst complex component 2	EXOC2	27.37923	27.46716	27.11267	26.34206	27.44206	26.86856	0.435459773	0.579158376
A0A024QZT4;P50453;C9J7N5;B4DDY9;A0A0C4DGW9;O75830	A0A024QZT4;P50453	Serpin B9	SERPINB9	23.45714	21.08174	24.59161	27.16356	26.3036	26.81017	-3.715614955	1.601034825
A0A024QZU8;Q92766;C9JU34;A0A087X055;C9JPJ6;C9JE09	A0A024QZU8;Q92766;C9JU34	Ras-responsive element-binding protein 1	RREB1	27.68197	27.34232	27.35934	27.89851	27.65792	27.30739	-0.160061518	0.321691269
A0A024QZW3;Q96S59;A0A024R014;O60738	A0A024QZW3;Q96S59;A0A024R014	Ran-binding protein 9	RANBP9	24.44733	23.92615	24.2012	22.72752	24.25551	24.94324	0.216135025	0.117025517
A0A024QZW7;P49790	A0A024QZW7;P49790	Nuclear pore complex protein Nup153	NUP153	31.1569	30.69884	30.62244	31.13993	30.76477	30.54407	0.009803772	0.01344966
A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8;C9JTJ8;C9JVA8	A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8	Serpin B6	SERPINB6	25.27024	25.24267	25.39816	25.06489	25.42195	26.0182	-0.197985967	0.282689698
A0A024QZY5;Q13523;B4DZQ5;H0YDJ3;D3DWH5;Q15456	A0A024QZY5;Q13523;B4DZQ5;H0YDJ3	Serine/threonine-protein kinase PRP4 homolog	PRPF4B	30.32721	30.17045	29.84402	30.33234	30.08271	29.78065	0.04866155	0.08035265
A0A024R012;Q9NXA8	A0A024R012;Q9NXA8	"NAD-dependent protein deacylase sirtuin-5, mitochondrial"	SIRT5	23.76456	23.80322	23.90509	23.94592	23.90159	23.88539	-0.086682638	0.884665354
A0A024R029;Q9ULW3	A0A024R029;Q9ULW3	Activator of basal transcription 1	ABT1	28.49415	28.18168	27.73299	28.41929	27.977	28.3772	-0.121559143	0.175982028
A0A024R071;O75694;B4DLT2;E9PF10;D6RA13	A0A024R071;O75694;B4DLT2;E9PF10	Nuclear pore complex protein Nup155	NUP155	31.68583	31.49018	31.43161	31.76525	31.51902	31.35621	-0.010950089	0.025919634
A0A024R084;Q9BRK5;A0A024R0A9;G3V1E2;H0Y3T6	A0A024R084;Q9BRK5;A0A024R0A9;G3V1E2;H0Y3T6	45 kDa calcium-binding protein	SDF4	25.81941	26.22338	26.0769	25.73174	26.38918	26.43474	-0.145325979	0.221436778
A0A024R0A8;O43865;Q2NKW8;Q6ZMM9;Q9BTL0;O43210;Q6ZMI1	A0A024R0A8;O43865;Q2NKW8;Q6ZMM9	Adenosylhomocysteinase;Putative adenosylhomocysteinase 2	AHCYL1	26.9684	26.99572	27.40779	26.98815	27.30008	27.19648	-0.037600199	0.078323134
A0A024R0C7;Q9P2B4;B1AMN7;Q9NPX3	A0A024R0C7;Q9P2B4;B1AMN7	CTTNBP2 N-terminal-like protein	CTTNBP2NL	26.42629	26.55907	26.83774	26.57482	26.75786	26.65881	-0.056130091	0.1591753
A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0;Q9UG93;Q8WU01;E9PNG3;Q9UG12;E9PLD4;E9PJK7	A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0	Cold shock domain-containing protein E1	CSDE1;UNR	29.85298	30.15207	29.90641	29.86856	30.03735	29.87921	0.042116165	0.14625963
A0A024R0E9;A0A024R0H3;Q5TCQ9	A0A024R0E9;A0A024R0H3;Q5TCQ9	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"	MAGI3	22.26945	21.89241	22.23809	22.79098	22.72111	23.34976	-0.820632299	1.614099639
A0A024R0F1;Q9UNY4;X6RI15;Q59EG6	A0A024R0F1;Q9UNY4	Transcription termination factor 2	TTF2	28.17198	28.03155	27.80421	27.87221	27.78319	27.41635	0.311995824	0.821625325
A0A024R0F6;Q9UPN9;H0Y612;B3KN30;B4DXI9	A0A024R0F6;Q9UPN9;H0Y612;B3KN30	E3 ubiquitin-protein ligase TRIM33	TRIM33	29.64499	29.52574	29.30685	29.66861	29.46383	29.47586	-0.043572744	0.134780449
A0A024R0H7;Q9BQA1;H0Y711;B4DJP0	A0A024R0H7;Q9BQA1;H0Y711	Methylosome protein 50	WDR77	24.436	24.83971	25.1519	24.09724	24.5643	24.77082	0.331747691	0.504813008
A0A024R0L2;Q96F63	A0A024R0L2;Q96F63	Coiled-coil domain-containing protein 97	MGC20255;CCDC97	24.05986	24.22383	24.83157	24.4597	24.38126	23.99473	0.093191147	0.123815727
A0A024R0L6;Q15102;M0R1K3;M0R389;M0QZT2;M0QXS6;M0R323	A0A024R0L6;Q15102;M0R1K3;M0R389	Platelet-activating factor acetylhydrolase IB subunit gamma	PAFAH1B3	26.49228	26.90311	26.68043	26.55189	26.88855	26.96466	-0.109759649	0.250390216
A0A024R0Q0;Q9H0W8;M0R0U0;M0QZC7	A0A024R0Q0;Q9H0W8;M0R0U0	Protein SMG9	FLJ12886;SMG9	22.61338	23.21049	23.30131	23.07545	22.86251	22.79404	0.131057739	0.220379641
A0A024R0Q5;Q8WUF5;Q6ZNZ8;A7YME7;K7EPP1;K7EN03	A0A024R0Q5;Q8WUF5;Q6ZNZ8	RelA-associated inhibitor	PPP1R13L	24.02513	24.18828	24.3946	23.9294	24.7885	24.29558	-0.135159175	0.1911118
A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14;K7EJW9;K7ER60;K7EK97	A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14	DNA excision repair protein ERCC-1	ERCC1	23.96261	23.57045	23.96684	23.97736	23.69147	23.28996	0.180369695	0.307963518
A0A024R0R1;M0QZR4;Q92888;M0QYC1;Q49AN3;M0R2C7;M0QYS3;M0QZH8;Q8NF33;M0R3H5	A0A024R0R1;M0QZR4;Q92888;M0QYC1	Rho guanine nucleotide exchange factor 1	ARHGEF1	24.56883	25.41171	25.61116	24.90394	25.59739	24.95531	0.04501915	0.039253369
A0A024R0R3;P55318;B4E257;P55317	A0A024R0R3;P55318;B4E257;P55317	Hepatocyte nuclear factor 3-gamma;Hepatocyte nuclear factor 3-alpha	FOXA3;FOXA1	23.74129	23.44658	23.10963	23.97518	23.59594	22.37436	0.117341995	0.080215064
A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65;M0R054;M0R375;M0QYM8;M0R286;M0QYP2	A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65	"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	SAE1	27.98109	28.34693	28.33611	28.22288	28.36899	28.49518	-0.140971502	0.417967394
A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61;M0R3C7;M0QXP5;M0R180;O75402;M0R1C2;M0R033;M0R039	A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61	Symplekin	SYMPK;SYMPK variant protein	30.64993	30.40578	30.37689	30.72931	30.58244	30.3078	-0.062316259	0.154444945
A0A024R0R9;P54920;M0R0Y2;M0R2M1;M0R058;M0R213;A0A024R0V6;M0R0I4;M0R027;B4DGP9;B4DIV0;A0A087WZQ7;Q9H115;M0QZM9;M0QZN5;M0R031	A0A024R0R9;P54920;M0R0Y2;M0R2M1	Alpha-soluble NSF attachment protein	NAPA	28.20974	28.36139	28.17764	28.39562	28.51119	28.39987	-0.185966492	1.280077723
A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2;M0QYS5;M0R0D2;M0R1U8;M0QZ96;V9VB20;M4WFF9;L7QJP1	A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2	DNA repair protein XRCC1	XRCC1	28.37869	28.23453	28.08684	28.32006	28.38648	28.34079	-0.115756989	0.598842639
A0A024R0X0;Q9UMZ2;A0A087WZS7;A8MYE0;A0A087WW94	A0A024R0X0;Q9UMZ2	Synergin gamma	AP1GBP1;SYNRG	25.17341	26.23517	25.40487	25.22916	25.67968	26.10951	-0.06830279	0.057535934
A0A024R101;Q86XZ4;F8VS10;F8VXB3;F8VZS5;F8VXP9;F8VRH4	A0A024R101;Q86XZ4	Spermatogenesis-associated serine-rich protein 2	SPATS2	25.57089	26.089	25.81846	25.52331	25.90649	25.8842	0.054781596	0.101213126
A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4;F8VUB0;B4DF50;F8VZ70;H0YHV1;F8VW95;C9JYI7	A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SMARCD1	29.94321	29.96705	29.7157	29.88188	29.94935	29.90555	-0.036938349	0.169051383
A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	Zinc finger CCHC-type and RNA-binding motif-containing protein 1	ZCRB1	24.44468	23.98442	24.13265	24.34895	24.27505	24.21512	-0.092454274	0.261248639
A0A024R120;Q12800;F8VX55;F8VWL0	A0A024R120;Q12800;F8VX55;F8VWL0	Alpha-globin transcription factor CP2	TFCP2	28.04443	27.96873	27.56238	27.93179	27.95294	27.23361	0.152397792	0.211232188
A0A024R152;A0A024R167;C9JVY5;C9JZH4;C9JA33;B1ALY0;Q8IXS6	A0A024R152;A0A024R167;C9JVY5		hCG_28765;AKAP2	27.36403	27.3533	28.76326	28.32255	27.6971	27.97285	-0.170640945	0.124360734
A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72;B3KM27;Q6IPS5;A0JLM9;Q32Q15;A0A0C4DGE5;Q7Z2X1;Q6P712;Q5T821;Q13497	A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 2	SMC2L1;SMC2	29.92875	30.17331	30.12016	30.15485	30.32002	30.39346	-0.215367635	0.985596689
A0A024R163;O95758;X6R242;B1ALY4	A0A024R163;O95758	Polypyrimidine tract-binding protein 3	ROD1;PTBP3	27.98327	27.91701	27.80483	28.03889	27.94022	27.69272	0.011091232	0.032431013
A0A024R169;Q9NXF1;B4DQR0;B7Z9D5;A0A0A0MSR3;B4E149	A0A024R169;Q9NXF1;B4DQR0;B7Z9D5	Testis-expressed sequence 10 protein	TEX10	30.58073	30.39479	30.45091	30.66255	30.50256	30.5472	-0.095292409	0.58362234
A0A024R172;Q14914;F2Z3J9;Q5JVP2;F6XGT7	A0A024R172;Q14914	Prostaglandin reductase 1	LTB4DH;PTGR1	26.46526	26.61414	26.66031	26.60837	26.52828	26.84266	-0.079870224	0.29053365
A0A024R179;Q09161;X6R941;F2Z2T1	A0A024R179;Q09161	Nuclear cap-binding protein subunit 1	NCBP1	30.75127	30.6422	30.56411	30.68979	30.71849	30.61228	-0.020994822	0.12195067
A0A024R1A3;P22314;B4DDE4;B4DL67;Q5JRR6;B3KUJ2;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRS1;Q5JRS3;Q712V1;Q8WY81	A0A024R1A3;P22314;B4DDE4;B4DL67	Ubiquitin-like modifier-activating enzyme 1	UBE1;UBA1	31.22843	31.32378	31.51982	31.07438	31.3097	31.63768	0.016756058	0.030583953
A0A024R1C1;Q13356;A8K0I0;B4DRD4;F8WC56;Q9BZH8;C9JDF0	A0A024R1C1;Q13356;A8K0I0;B4DRD4	Peptidyl-prolyl cis-trans isomerase-like 2	PPIL2	27.84673	27.7442	27.75793	28.10944	27.94458	27.9368	-0.213988622	1.524372643
A0A024R1C5;Q8IWD4;B7Z820;F8WBN8;B0QYH3;B0QYH1	A0A024R1C5;Q8IWD4	Coiled-coil domain-containing protein 117	FLJ33814;CCDC117	23.12179	23.46576	23.42085	23.67562	23.23566	24.1741	-0.358992259	0.543666464
A0A024R1D6;Q13769;F8WCP5;C9JXG5;H7C441;H7C072;F5GZF3;C9JCL9;C9JXU6	A0A024R1D6;Q13769;F8WCP5	THO complex subunit 5 homolog	hCG_2011153;THOC5	28.32328	28.31519	28.11163	28.16173	28.36999	28.49156	-0.091060003	0.313843362
A0A024R1E5;Q9Y6J0;A0A087WWW8;Q8WTX5;B5MEB3;Q9NPU0;Q8IVX9;Q05C66;C9JT60;C9J068	A0A024R1E5;Q9Y6J0;A0A087WWW8	Calcineurin-binding protein cabin-1	CABIN1	27.39615	27.22315	27.18329	27.52903	27.44	27.20909	-0.125171661	0.468888252
A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98;B1AH59;Q659F6;H7C3Y4	A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98	Activating signal cointegrator 1 complex subunit 2	ASCC2	23.37252	23.73531	24.20501	23.68848	23.72234	23.78856	0.03782018	0.053673272
A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	"POZ-, AT hook-, and zinc finger-containing protein 1"	ZNF278;PATZ1	27.9818	27.62164	27.48623	28.03549	27.57283	27.38862	0.030912399	0.043454237
A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	Merlin	NF2	24.74719	24.92497	24.62059	24.53996	24.47265	24.21178	0.35611852	1.25264892
A0A024R1K0;Q9NRA8;B1AKL4;B4DR76;B0QYZ7;Q6PJR2;B1AKL5;B1AKL6	A0A024R1K0;Q9NRA8;B1AKL4;B4DR76	Eukaryotic translation initiation factor 4E transporter	EIF4ENIF1	25.74075	25.9662	25.63533	25.56732	25.69246	25.68736	0.131714503	0.551090023
A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2;F8WEB6;A2IDB1	A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2	14-3-3 protein eta	YWHAH	28.4969	28.8705	28.92632	28.49247	28.74772	28.718	0.11183993	0.287577652
A0A024R1K8;Q15459;B4E091;H7C1L2;F8WB66;F8WC79	A0A024R1K8;Q15459;B4E091	Splicing factor 3A subunit 1	SF3A1	31.71075	31.52393	31.78285	31.76651	31.60885	31.8141	-0.057308197	0.226448798
A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356;Q6IC76	A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356	X-ray repair cross-complementing protein 6	XRCC6	33.90168	33.88404	33.96439	33.8347	34.01155	34.20128	-0.09914271	0.384051977
A0A024R1P7;B4E2A6;Q9UH99;B4DIU6;A8K129;Q6NT72;A0A024R1S6;B0QY64;B0QY60;B0QY63;B0QY68;B0QY66;H0Y686;B0QY67;B0QY69;B0QY65	A0A024R1P7;B4E2A6;Q9UH99;B4DIU6;A8K129;Q6NT72	SUN domain-containing protein 2	UNC84B;SUN2	27.983	28.13736	27.85025	28.46564	28.34109	28.09204	-0.309386571	1.056240484
A0A024R1S8;Q14847;C9J9W2;A8K1D2;B4DIC4;B4DJI4;F6S2S5;Q9NPR7;J3KSN1;K7ESD6	A0A024R1S8;Q14847;C9J9W2;A8K1D2	LIM and SH3 domain protein 1	LASP1	28.2013	28.40393	28.46205	28.02691	28.14341	28.0624	0.278191249	1.493698915
A0A024R1T5;P09543;B4DFN6;K7ERC4;B4DI06;K7EN66;C9K0L8;K7ERZ0	A0A024R1T5;P09543;B4DFN6	"2,3-cyclic-nucleotide 3-phosphodiesterase"	CNP	25.32334	25.67984	25.2743	25.0547	25.48053	25.61141	0.043612798	0.072406229
A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4;K7ESG8;K7EIE7	A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4	ATP-citrate synthase	ACLY;ACLY variant protein	31.10412	31.85475	31.6009	31.41543	31.76288	31.73465	-0.11773173	0.181462268
A0A024R1U0;P46060;B4DY16;B4E0U0;H0Y4Q3;B0QYT5;B0QYT4;Q9BSK3;Q8WUS7;B0QYT6	A0A024R1U0;P46060;B4DY16;B4E0U0	Ran GTPase-activating protein 1	RANGAP1	31.30307	31.17451	31.13063	31.35163	31.25006	30.97378	0.010913213	0.029560401
A0A024R1U2;Q7RTV0	A0A024R1U2;Q7RTV0	PHD finger-like domain-containing protein 5A	PHF5A	26.79613	26.36558	26.7326	26.32946	26.43498	26.55506	0.191603343	0.57132116
A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4;K7EIP6	A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4	Ras-related protein Rab-5C	RAB5C	25.3452	25.44234	26.15827	25.70081	25.67506	25.855	-0.095021566	0.133338628
A0A024R1V6;P35227;J3KT13;A0A087X259;Q5T8Z6	A0A024R1V6;P35227;J3KT13;A0A087X259	Polycomb group RING finger protein 2	PCGF2	25.59397	24.92551	24.73665	25.04889	25.19813	24.75486	0.084754308	0.105001803
A0A024R1X0;O15234;B4DKR6;J3QSC4	A0A024R1X0;O15234;B4DKR6	Protein CASC3	CASC3	24.89643	24.88302	24.73112	24.17478	24.59463	24.37372	0.455814362	1.581886828
A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3;K7EP45	A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3	Vacuolar protein-sorting-associated protein 25	VPS25	23.40185	22.87556	24.05681	21.90703	23.68175	23.38601	0.453143438	0.282290449
A0A024R1Z1;P49427;U3KQP9;U3KQ77;U3KPV8	A0A024R1Z1;P49427;U3KQP9	Ubiquitin-conjugating enzyme E2 R1	CDC34	21.04065	23.3761	23.01988	23.40976	23.16717	23.47308	-0.871128082	0.522813664
