Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	log2 fold change	p-value
A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1;M0QYG0;B4E0U5;M0R3H2;M0QXD7;M0QX88;M0R025;M0R200;M0QZ79;M0QXV1	A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1	Inactive serine/threonine-protein kinase VRK3	VRK3	26.43495	26.43916	26.43212	26.00417	25.65384	25.91148	0.578910828	2.279939691
A0A024QZJ7;Q16204;Q15302;J7M8C2;J7MDF2	A0A024QZJ7;Q16204	Coiled-coil domain-containing protein 6	CCDC6	26.84278	26.56623	26.49282	27.65465	28.01148	27.65431	-1.139534632	2.690069749
A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	Heterogeneous nuclear ribonucleoprotein H3	HNRPH3;HNRNPH3	30.95407	31.0039	31.24224	31.88704	31.72481	31.94548	-0.785703659	2.68102712
A0A024QZM5;Q9ULE6	A0A024QZM5;Q9ULE6	Paladin	KIAA1274;PALD1	22.33191	22.77347	22.50936	26.02513	26.30927	26.32675	-3.6821359	4.661411367
A0A024QZM6;P53992;B4DSN3;G5EA31;B7ZAY6;A0A0U1RR49;B4DQ22	A0A024QZM6;P53992;B4DSN3;G5EA31	Protein transport protein Sec24C	SEC24C	27.02158	27.16068	26.9982	27.78382	28.03732	28.16284	-0.934509277	2.800255896
A0A024QZN2;Q8WXX5	A0A024QZN2;Q8WXX5	DnaJ homolog subfamily C member 9	hCG_2024613;DNAJC9	29.20492	28.98767	29.11535	28.61105	28.70121	28.37447	0.540404638	2.017221375
A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13;B4DKC9;B4DTM7;A0A096LPE1	A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13	Vinculin	VCL;HEL114	29.96898	29.86464	29.75221	31.89988	32.14306	32.19689	-2.218000412	4.435538344
A0A024QZN6;Q9ULJ6;F6WR09;D4YW76;A0JLS3;A0A087WYE6;Q149N7;Q9H7J0	A0A024QZN6;Q9ULJ6;F6WR09;D4YW76	Zinc finger MIZ domain-containing protein 1	RAI17;ZMIZ1;TRAFIP10	26.46438	25.83786	26.61681	24.79511	25.25969	23.34476	1.83983167	1.376390332
A0A024QZN8;Q5GLZ8;A8K9U4;H0Y6K7;Q9Y4U2;D6RCL5	A0A024QZN8;Q5GLZ8;A8K9U4	Probable E3 ubiquitin-protein ligase HERC4	HERC4	25.85136	25.91002	25.82136	26.03886	26.30847	26.27188	-0.345490138	1.759656048
A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	Core histone macro-H2A;Core histone macro-H2A.2;Histone H2A	H2AFY2	28.38319	27.89348	28.02929	31.10724	31.14746	30.54287	-2.830539703	3.502934503
A0A024QZQ1;Q96EB6;E9PC49;B0QZ35;B3KNK3	A0A024QZQ1;Q96EB6;E9PC49;B0QZ35	NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment	SIRT1	28.3274	28.31194	28.48662	26.76091	26.80341	26.94782	1.537940343	4.376353855
A0A024QZR3;B3KPC1;Q9BRX2	A0A024QZR3;B3KPC1;Q9BRX2	Protein pelota homolog	hCG_2002731;PELO	24.22185	23.59434	23.61919	27.07714	27.1207	26.78905	-3.183839798	3.801470255
A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0;H0YBM0;H0YBA0;E7ER80	A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0	AP-3 complex subunit mu-1	AP3M1;DKFZp586G1518	25.34567	24.97329	23.89865	26.58792	26.8417	26.93438	-2.048798879	1.996612931
A0A024QZT2;Q96KP1;B3KPN7;B4DZI7;Q2MDF5	A0A024QZT2;Q96KP1;B3KPN7;B4DZI7	Exocyst complex component 2	EXOC2	24.26657	24.47414	24.56133	27.37923	27.46716	27.11267	-2.885674159	4.511855605
A0A024QZT4;P50453;C9J7N5;B4DDY9;A0A0C4DGW9;O75830	A0A024QZT4;P50453	Serpin B9	SERPINB9	31.97073	31.90523	31.31851	23.45714	21.08174	24.59161	8.687994639	2.926535853
A0A024QZU8;Q92766;C9JU34;A0A087X055;C9JPJ6;C9JE09	A0A024QZU8;Q92766;C9JU34	Ras-responsive element-binding protein 1	RREB1	28.66047	28.69139	28.84667	27.68197	27.34232	27.35934	1.27163442	3.284426237
A0A024QZW3;Q96S59;A0A024R014;O60738	A0A024QZW3;Q96S59;A0A024R014	Ran-binding protein 9	RANBP9	24.67573	24.17287	24.15707	24.44733	23.92615	24.2012	0.14366595	0.250513133
A0A024QZW7;P49790	A0A024QZW7;P49790	Nuclear pore complex protein Nup153	NUP153	31.96282	31.63914	31.91528	31.1569	30.69884	30.62244	1.013020198	2.184373417
A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8;C9JTJ8;C9JVA8	A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8	Serpin B6	SERPINB6	28.13252	28.06183	28.2332	25.27024	25.24267	25.39816	2.838823954	5.679649731
A0A024QZY4;O00635;Q59EA5;Q6MZQ5	A0A024QZY4;O00635;Q59EA5;Q6MZQ5	E3 ubiquitin-protein ligase TRIM38	TRIM38;DKFZp686F23130	24.49905	24.15027	24.30494	22.93283	22.04683	23.15612	1.606163025	1.98034362
A0A024QZY5;Q13523;B4DZQ5;H0YDJ3;D3DWH5;Q15456	A0A024QZY5;Q13523;B4DZQ5;H0YDJ3	Serine/threonine-protein kinase PRP4 homolog	PRPF4B	31.05821	30.77957	30.92642	30.32721	30.17045	29.84402	0.807502111	2.106631288
A0A024R012;Q9NXA8	A0A024R012;Q9NXA8	"NAD-dependent protein deacylase sirtuin-5, mitochondrial"	SIRT5	21.333	22.6361	22.3763	23.76456	23.80322	23.90509	-1.709156036	1.887281021
A0A024R029;Q9ULW3	A0A024R029;Q9ULW3	Activator of basal transcription 1	ABT1	28.91016	28.73146	28.84278	28.49415	28.18168	27.73299	0.691864014	1.419204842
A0A024R071;O75694;B4DLT2;E9PF10;D6RA13	A0A024R071;O75694;B4DLT2;E9PF10	Nuclear pore complex protein Nup155	NUP155	31.61619	31.76762	31.79622	31.68583	31.49018	31.43161	0.190799713	0.939140165
A0A024R084;Q9BRK5;A0A024R0A9;G3V1E2;H0Y3T6	A0A024R084;Q9BRK5;A0A024R0A9;G3V1E2;H0Y3T6	45 kDa calcium-binding protein	SDF4	22.19627	22.38821	21.97054	25.81941	26.22338	26.0769	-3.854890823	4.661419049
A0A024R0A8;O43865;Q2NKW8;Q6ZMM9;Q9BTL0;O43210;Q6ZMI1	A0A024R0A8;O43865;Q2NKW8;Q6ZMM9	Adenosylhomocysteinase;Putative adenosylhomocysteinase 2	AHCYL1	25.36653	25.53026	25.12731	26.9684	26.99572	27.40779	-1.782601674	3.19619741
A0A024R0C7;Q9P2B4;B1AMN7;Q9NPX3	A0A024R0C7;Q9P2B4;B1AMN7	CTTNBP2 N-terminal-like protein	CTTNBP2NL	21.78264	21.76606	21.74975	26.42629	26.55907	26.83774	-4.84154892	5.623741448
A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0;Q9UG93;Q8WU01;E9PNG3;Q9UG12;E9PLD4;E9PJK7	A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0	Cold shock domain-containing protein E1	CSDE1;UNR	28.31445	28.2978	28.22034	29.85298	30.15207	29.90641	-1.692953746	4.20680453
A0A024R0E9;A0A024R0H3;Q5TCQ9	A0A024R0E9;A0A024R0H3;Q5TCQ9	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"	MAGI3	21.9441	21.83688	21.82107	22.26945	21.89241	22.23809	-0.265967687	0.983017668
A0A024R0F1;Q9UNY4;X6RI15;Q59EG6	A0A024R0F1;Q9UNY4	Transcription termination factor 2	TTF2	26.50886	26.52177	26.45637	28.17198	28.03155	27.80421	-1.506913503	3.799518313
A0A024R0F6;Q9UPN9;H0Y612;B3KN30;B4DXI9	A0A024R0F6;Q9UPN9;H0Y612;B3KN30	E3 ubiquitin-protein ligase TRIM33	TRIM33	30.28284	29.96582	30.16207	29.64499	29.52574	29.30685	0.644381841	2.04987924
A0A024R0G5;Q96SK3;Q59G67;K7EN48	A0A024R0G5;Q96SK3;Q59G67	Zinc finger protein 607	ZNF607	22.73606	22.78513	22.846	22.12761	24.1831	22.37451	-0.106012344	0.056448828
A0A024R0H7;Q9BQA1;H0Y711;B4DJP0	A0A024R0H7;Q9BQA1;H0Y711	Methylosome protein 50	WDR77	24.022	24.54669	24.17097	24.436	24.83971	25.1519	-0.562650045	1.017938266
A0A024R0L2;Q96F63	A0A024R0L2;Q96F63	Coiled-coil domain-containing protein 97	MGC20255;CCDC97	23.79986	24.27533	23.79887	24.05986	24.22383	24.83157	-0.413733164	0.661567492
A0A024R0L6;Q15102;M0R1K3;M0R389;M0QZT2;M0QXS6;M0R323	A0A024R0L6;Q15102;M0R1K3;M0R389	Platelet-activating factor acetylhydrolase IB subunit gamma	PAFAH1B3	26.26662	26.47681	26.29957	26.49228	26.90311	26.68043	-0.344276428	1.194375447
A0A024R0Q0;Q9H0W8;M0R0U0;M0QZC7	A0A024R0Q0;Q9H0W8;M0R0U0	Protein SMG9	FLJ12886;SMG9	22.35114	21.39069	22.54557	22.61338	23.21049	23.30131	-0.945927302	1.065760557
A0A024R0Q5;Q8WUF5;Q6ZNZ8;A7YME7;K7EPP1;K7EN03	A0A024R0Q5;Q8WUF5;Q6ZNZ8	RelA-associated inhibitor	PPP1R13L	21.63028	21.84837	21.37173	24.02513	24.18828	24.3946	-2.585875829	3.919429602
A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14;K7EJW9;K7ER60;K7EK97	A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14	DNA excision repair protein ERCC-1	ERCC1	23.89291	23.99602	23.93742	23.96261	23.57045	23.96684	0.108816147	0.332804362
A0A024R0R1;M0QZR4;Q92888;M0QYC1;Q49AN3;M0R2C7;M0QYS3;M0QZH8;Q8NF33;M0R3H5	A0A024R0R1;M0QZR4;Q92888;M0QYC1	Rho guanine nucleotide exchange factor 1	ARHGEF1	22.81331	23.67206	23.51171	24.56883	25.41171	25.61116	-1.864869436	1.966568863
A0A024R0R3;P55318;B4E257;P55317	A0A024R0R3;P55318;B4E257;P55317	Hepatocyte nuclear factor 3-gamma;Hepatocyte nuclear factor 3-alpha	FOXA3;FOXA1	21.17222	21.69919	21.83265	23.74129	23.44658	23.10963	-1.864477793	2.625444773
A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65;M0R054;M0R375;M0QYM8;M0R286;M0QYP2	A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65	"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	SAE1	28.77536	28.79157	28.84122	27.98109	28.34693	28.33611	0.581339518	2.054388113
A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61;M0R3C7;M0QXP5;M0R180;O75402;M0R1C2;M0R033;M0R039	A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61	Symplekin	SYMPK;SYMPK variant protein	31.50975	31.42857	31.51831	30.64993	30.40578	30.37689	1.008010864	3.419087025
A0A024R0R9;P54920;M0R0Y2;M0R2M1;M0R058;M0R213;A0A024R0V6;M0R0I4;M0R027;B4DGP9;B4DIV0;A0A087WZQ7;Q9H115;M0QZM9;M0QZN5;M0R031	A0A024R0R9;P54920;M0R0Y2;M0R2M1	Alpha-soluble NSF attachment protein	NAPA	28.23114	28.42874	28.22426	28.20974	28.36139	28.17764	0.045121511	0.197686033
A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2;M0QYS5;M0R0D2;M0R1U8;M0QZ96;V9VB20;M4WFF9;L7QJP1	A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2	DNA repair protein XRCC1	XRCC1	28.94606	28.68522	28.90701	28.37869	28.23453	28.08684	0.612745921	2.196648815
A0A024R0X0;Q9UMZ2;A0A087WZS7;A8MYE0;A0A087WW94	A0A024R0X0;Q9UMZ2	Synergin gamma	AP1GBP1;SYNRG	21.64207	23.42419	21.68241	25.17341	26.23517	25.40487	-3.354922613	2.127610589
A0A024R101;Q86XZ4;F8VS10;F8VXB3;F8VZS5;F8VXP9;F8VRH4	A0A024R101;Q86XZ4	Spermatogenesis-associated serine-rich protein 2	SPATS2	21.94518	20.9117	21.94093	25.57089	26.089	25.81846	-4.226847967	3.452557409
A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4;F8VUB0;B4DF50;F8VZ70;H0YHV1;F8VW95;C9JYI7	A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SMARCD1	29.49572	29.34898	29.37258	29.94321	29.96705	29.7157	-0.469561895	2.155080513
A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	Zinc finger CCHC-type and RNA-binding motif-containing protein 1	ZCRB1	24.30612	24.30709	24.24786	24.44468	23.98442	24.13265	0.099774043	0.295052191
A0A024R120;Q12800;F8VX55;F8VWL0	A0A024R120;Q12800;F8VX55;F8VWL0	Alpha-globin transcription factor CP2	TFCP2	27.4004	27.36394	27.42614	28.04443	27.96873	27.56238	-0.461685181	1.425207812
A0A024R152;A0A024R167;C9JVY5;C9JZH4;C9JA33;B1ALY0;Q8IXS6	A0A024R152;A0A024R167;C9JVY5		hCG_28765;AKAP2	21.30185	21.70257	21.68581	27.36403	27.3533	28.76326	-6.263448079	3.67925163
A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72;B3KM27;Q6IPS5;A0JLM9;Q32Q15;A0A0C4DGE5;Q7Z2X1;Q6P712;Q5T821;Q13497	A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 2	SMC2L1;SMC2	30.25214	30.19976	30.3198	29.92875	30.17331	30.12016	0.183162689	1.049529058
A0A024R163;O95758;X6R242;B1ALY4	A0A024R163;O95758	Polypyrimidine tract-binding protein 3	ROD1;PTBP3	28.81861	28.7242	28.70065	27.98327	27.91701	27.80483	0.846113205	3.741115038
A0A024R169;Q9NXF1;B4DQR0;B7Z9D5;A0A0A0MSR3;B4E149	A0A024R169;Q9NXF1;B4DQR0;B7Z9D5	Testis-expressed sequence 10 protein	TEX10	30.74791	30.83891	30.82305	30.58073	30.39479	30.45091	0.327812195	2.216743213
A0A024R172;Q14914;F2Z3J9;Q5JVP2;F6XGT7	A0A024R172;Q14914	Prostaglandin reductase 1	LTB4DH;PTGR1	26.95593	27.06795	26.77957	26.46526	26.61414	26.66031	0.354580561	1.587651063
A0A024R179;Q09161;X6R941;F2Z2T1	A0A024R179;Q09161	Nuclear cap-binding protein subunit 1	NCBP1	31.3714	31.34393	31.33266	30.75127	30.6422	30.56411	0.696802139	3.635877525
A0A024R1A3;P22314;B4DDE4;B4DL67;Q5JRR6;B3KUJ2;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRS1;Q5JRS3;Q712V1;Q8WY81	A0A024R1A3;P22314;B4DDE4;B4DL67	Ubiquitin-like modifier-activating enzyme 1	UBE1;UBA1	30.79273	30.72192	30.63781	31.22843	31.32378	31.51982	-0.639855703	2.566884552
A0A024R1C1;Q13356;A8K0I0;B4DRD4;F8WC56;Q9BZH8;C9JDF0	A0A024R1C1;Q13356;A8K0I0;B4DRD4	Peptidyl-prolyl cis-trans isomerase-like 2	PPIL2	29.2017	29.17909	29.14846	27.84673	27.7442	27.75793	1.393466314	5.592058984
A0A024R1C5;Q8IWD4;B7Z820;F8WBN8;B0QYH3;B0QYH1	A0A024R1C5;Q8IWD4	Coiled-coil domain-containing protein 117	FLJ33814;CCDC117	23.30994	23.98737	24.11227	23.12179	23.46576	23.42085	0.467063268	0.794151133
A0A024R1D6;Q13769;F8WCP5;C9JXG5;H7C441;H7C072;F5GZF3;C9JCL9;C9JXU6	A0A024R1D6;Q13769;F8WCP5	THO complex subunit 5 homolog	hCG_2011153;THOC5	28.83044	28.68013	28.75152	28.32328	28.31519	28.11163	0.50399971	2.454703348
A0A024R1E5;Q9Y6J0;A0A087WWW8;Q8WTX5;B5MEB3;Q9NPU0;Q8IVX9;Q05C66;C9JT60;C9J068	A0A024R1E5;Q9Y6J0;A0A087WWW8	Calcineurin-binding protein cabin-1	CABIN1	27.20228	27.0202	27.26168	27.39615	27.22315	27.18329	-0.106145859	0.470587596
A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98;B1AH59;Q659F6;H7C3Y4	A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98	Activating signal cointegrator 1 complex subunit 2	ASCC2	23.12644	23.50531	23.73892	23.37252	23.73531	24.20501	-0.314055761	0.450925678
A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	"POZ-, AT hook-, and zinc finger-containing protein 1"	ZNF278;PATZ1	26.17444	25.96076	26.36973	27.9818	27.62164	27.48623	-1.528249105	2.893614956
A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	Merlin	NF2	25.42438	25.19907	25.27867	24.74719	24.92497	24.62059	0.536454519	2.084427217
A0A024R1K0;Q9NRA8;B1AKL4;B4DR76;B0QYZ7;Q6PJR2;B1AKL5;B1AKL6	A0A024R1K0;Q9NRA8;B1AKL4;B4DR76	Eukaryotic translation initiation factor 4E transporter	EIF4ENIF1	24.68763	23.9104	24.84259	25.74075	25.9662	25.63533	-1.300554276	1.888326415
A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2;F8WEB6;A2IDB1	A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2	14-3-3 protein eta	YWHAH	28.43201	28.15427	28.15025	28.4969	28.8705	28.92632	-0.519061406	1.468925964
A0A024R1K8;Q15459;B4E091;H7C1L2;F8WB66;F8WC79	A0A024R1K8;Q15459;B4E091	Splicing factor 3A subunit 1	SF3A1	31.78741	31.90009	31.92959	31.71075	31.52393	31.78285	0.199853897	1.061457873
A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356;Q6IC76	A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356	X-ray repair cross-complementing protein 6	XRCC6	34.37056	34.47786	34.52782	33.90168	33.88404	33.96439	0.54204305	3.306939541
A0A024R1P7;B4E2A6;Q9UH99;B4DIU6;A8K129;Q6NT72;A0A024R1S6;B0QY64;B0QY60;B0QY63;B0QY68;B0QY66;H0Y686;B0QY67;B0QY69;B0QY65	A0A024R1P7;B4E2A6;Q9UH99;B4DIU6;A8K129;Q6NT72	SUN domain-containing protein 2	UNC84B;SUN2	22.77314	22.12561	21.88972	27.983	28.13736	27.85025	-5.727380753	4.491666667
A0A024R1S8;Q14847;C9J9W2;A8K1D2;B4DIC4;B4DJI4;F6S2S5;Q9NPR7;J3KSN1;K7ESD6	A0A024R1S8;Q14847;C9J9W2;A8K1D2	LIM and SH3 domain protein 1	LASP1	28.85926	28.96903	28.88341	28.2013	28.40393	28.46205	0.548135122	2.511964414
A0A024R1T5;P09543;B4DFN6;K7ERC4;B4DI06;K7EN66;C9K0L8;K7ERZ0	A0A024R1T5;P09543;B4DFN6	"2,3-cyclic-nucleotide 3-phosphodiesterase"	CNP	21.70025	22.77874	22.67591	25.32334	25.67984	25.2743	-3.040857315	2.937857315
A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4;K7ESG8;K7EIE7	A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4	ATP-citrate synthase	ACLY;ACLY variant protein	30.56338	30.58002	30.34403	31.10412	31.85475	31.6009	-1.02411143	1.929386196
A0A024R1U0;P46060;B4DY16;B4E0U0;H0Y4Q3;B0QYT5;B0QYT4;Q9BSK3;Q8WUS7;B0QYT6	A0A024R1U0;P46060;B4DY16;B4E0U0	Ran GTPase-activating protein 1	RANGAP1	30.85162	31.15352	30.92047	31.30307	31.17451	31.13063	-0.227532069	1.017287094
A0A024R1U2;Q7RTV0	A0A024R1U2;Q7RTV0	PHD finger-like domain-containing protein 5A	PHF5A	26.36726	26.81958	25.92698	26.79613	26.36558	26.7326	-0.260157267	0.375563482
A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4;K7EIP6	A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4	Ras-related protein Rab-5C	RAB5C	25.24938	25.94673	25.63043	25.3452	25.44234	26.15827	-0.039758046	0.041506081
A0A024R1V6;P35227;J3KT13;A0A087X259;Q5T8Z6	A0A024R1V6;P35227;J3KT13;A0A087X259	Polycomb group RING finger protein 2	PCGF2	22.50169	22.34682	22.11184	25.59397	24.92551	24.73665	-2.76526324	3.207265465
A0A024R1X0;O15234;B4DKR6;J3QSC4	A0A024R1X0;O15234;B4DKR6	Protein CASC3	CASC3	22.59718	24.52355	22.33461	24.89643	24.88302	24.73112	-1.685077031	1.145013408
A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3;K7EP45	A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3	Vacuolar protein-sorting-associated protein 25	VPS25	23.57773	24.06891	23.94646	23.40185	22.87556	24.05681	0.419627508	0.491329776
A0A024R1Z6;Q99536;B3KUF8;K7ERT7;K7ESA3;K7ENX2;K7EM19;K7EJM4;K7ER81	A0A024R1Z6;Q99536;B3KUF8	Synaptic vesicle membrane protein VAT-1 homolog	VAT1	24.47488	25.03158	24.4204	24.79402	25.59089	25.41651	-0.624854406	0.94012493
